Type,Library,Test,Result
1. Parse Validation,gason (C++11),pass01,true
1. Parse Validation,gason (C++11),pass02,true
1. Parse Validation,gason (C++11),pass03,true
1. Parse Validation,gason (C++11),fail02,true
1. Parse Validation,gason (C++11),fail03,true
1. Parse Validation,gason (C++11),fail04,false
1. Parse Validation,gason (C++11),fail05,true
1. Parse Validation,gason (C++11),fail06,true
1. Parse Validation,gason (C++11),fail07,false
1. Parse Validation,gason (C++11),fail08,false
1. Parse Validation,gason (C++11),fail09,false
1. Parse Validation,gason (C++11),fail10,false
1. Parse Validation,gason (C++11),fail11,true
1. Parse Validation,gason (C++11),fail12,true
1. Parse Validation,gason (C++11),fail13,false
1. Parse Validation,gason (C++11),fail14,true
1. Parse Validation,gason (C++11),fail15,true
1. Parse Validation,gason (C++11),fail16,true
1. Parse Validation,gason (C++11),fail17,true
1. Parse Validation,gason (C++11),fail19,false
1. Parse Validation,gason (C++11),fail20,true
1. Parse Validation,gason (C++11),fail21,true
1. Parse Validation,gason (C++11),fail22,true
1. Parse Validation,gason (C++11),fail23,true
1. Parse Validation,gason (C++11),fail24,true
1. Parse Validation,gason (C++11),fail25,true
1. Parse Validation,gason (C++11),fail26,true
1. Parse Validation,gason (C++11),fail27,true
1. Parse Validation,gason (C++11),fail28,true
1. Parse Validation,gason (C++11),fail29,false
1. Parse Validation,gason (C++11),fail30,false
1. Parse Validation,gason (C++11),fail31,true
1. Parse Validation,gason (C++11),fail32,true
1. Parse Validation,gason (C++11),fail33,true
2. Parse Double,gason (C++11),double01,true
2. Parse Double,gason (C++11),double02,true
2. Parse Double,gason (C++11),double03,true
2. Parse Double,gason (C++11),double04,true
2. Parse Double,gason (C++11),double05,true
2. Parse Double,gason (C++11),double06,true
2. Parse Double,gason (C++11),double07,true
2. Parse Double,gason (C++11),double08,true
2. Parse Double,gason (C++11),double09,true
2. Parse Double,gason (C++11),double10,true
2. Parse Double,gason (C++11),double11,false
2. Parse Double,gason (C++11),double12,true
2. Parse Double,gason (C++11),double13,true
2. Parse Double,gason (C++11),double14,true
2. Parse Double,gason (C++11),double15,false
2. Parse Double,gason (C++11),double16,true
2. Parse Double,gason (C++11),double17,false
2. Parse Double,gason (C++11),double18,false
2. Parse Double,gason (C++11),double19,false
2. Parse Double,gason (C++11),double20,false
2. Parse Double,gason (C++11),double21,false
2. Parse Double,gason (C++11),double22,false
2. Parse Double,gason (C++11),double23,false
2. Parse Double,gason (C++11),double24,false
2. Parse Double,gason (C++11),double25,false
2. Parse Double,gason (C++11),double26,true
2. Parse Double,gason (C++11),double27,true
2. Parse Double,gason (C++11),double28,false
2. Parse Double,gason (C++11),double29,true
2. Parse Double,gason (C++11),double30,false
2. Parse Double,gason (C++11),double31,true
2. Parse Double,gason (C++11),double32,false
2. Parse Double,gason (C++11),double33,true
2. Parse Double,gason (C++11),double34,true
2. Parse Double,gason (C++11),double35,false
2. Parse Double,gason (C++11),double36,false
2. Parse Double,gason (C++11),double37,false
2. Parse Double,gason (C++11),double38,false
2. Parse Double,gason (C++11),double39,false
2. Parse Double,gason (C++11),double40,true
2. Parse Double,gason (C++11),double41,false
2. Parse Double,gason (C++11),double42,true
2. Parse Double,gason (C++11),double43,true
2. Parse Double,gason (C++11),double44,false
2. Parse Double,gason (C++11),double45,true
2. Parse Double,gason (C++11),double46,true
2. Parse Double,gason (C++11),double47,true
2. Parse Double,gason (C++11),double48,false
2. Parse Double,gason (C++11),double49,false
2. Parse Double,gason (C++11),double50,true
2. Parse Double,gason (C++11),double51,false
2. Parse Double,gason (C++11),double52,true
2. Parse Double,gason (C++11),double53,false
2. Parse Double,gason (C++11),double54,false
2. Parse Double,gason (C++11),double55,true
2. Parse Double,gason (C++11),double56,false
2. Parse Double,gason (C++11),double57,false
2. Parse Double,gason (C++11),double58,false
2. Parse Double,gason (C++11),double59,false
2. Parse Double,gason (C++11),double60,false
2. Parse Double,gason (C++11),double61,false
2. Parse Double,gason (C++11),double62,false
2. Parse Double,gason (C++11),double63,false
2. Parse Double,gason (C++11),double64,false
2. Parse Double,gason (C++11),double65,false
2. Parse Double,gason (C++11),double66,false
3. Parse String,gason (C++11),string01,true
3. Parse String,gason (C++11),string02,true
3. Parse String,gason (C++11),string03,true
3. Parse String,gason (C++11),string04,false
3. Parse String,gason (C++11),string05,true
3. Parse String,gason (C++11),string06,true
3. Parse String,gason (C++11),string07,true
3. Parse String,gason (C++11),string08,true
3. Parse String,gason (C++11),string09,false
4. Roundtrip,gason (C++11),roundtrip01,true
4. Roundtrip,gason (C++11),roundtrip02,true
4. Roundtrip,gason (C++11),roundtrip03,true
4. Roundtrip,gason (C++11),roundtrip04,false
4. Roundtrip,gason (C++11),roundtrip05,true
4. Roundtrip,gason (C++11),roundtrip06,true
4. Roundtrip,gason (C++11),roundtrip07,true
4. Roundtrip,gason (C++11),roundtrip08,false
4. Roundtrip,gason (C++11),roundtrip09,true
4. Roundtrip,gason (C++11),roundtrip10,true
4. Roundtrip,gason (C++11),roundtrip11,false
4. Roundtrip,gason (C++11),roundtrip12,false
4. Roundtrip,gason (C++11),roundtrip13,false
4. Roundtrip,gason (C++11),roundtrip14,false
4. Roundtrip,gason (C++11),roundtrip15,false
4. Roundtrip,gason (C++11),roundtrip16,false
4. Roundtrip,gason (C++11),roundtrip17,false
4. Roundtrip,gason (C++11),roundtrip18,false
4. Roundtrip,gason (C++11),roundtrip19,false
4. Roundtrip,gason (C++11),roundtrip20,false
4. Roundtrip,gason (C++11),roundtrip21,false
4. Roundtrip,gason (C++11),roundtrip22,false
4. Roundtrip,gason (C++11),roundtrip23,false
4. Roundtrip,gason (C++11),roundtrip24,false
4. Roundtrip,gason (C++11),roundtrip25,false
4. Roundtrip,gason (C++11),roundtrip26,false
4. Roundtrip,gason (C++11),roundtrip27,false
1. Parse Validation,RapidJSON_FullPrec (C++),pass01,true
1. Parse Validation,RapidJSON_FullPrec (C++),pass02,true
1. Parse Validation,RapidJSON_FullPrec (C++),pass03,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail02,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail03,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail04,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail05,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail06,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail07,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail08,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail09,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail10,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail11,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail12,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail13,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail14,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail15,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail16,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail17,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail19,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail20,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail21,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail22,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail23,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail24,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail25,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail26,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail27,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail28,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail29,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail30,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail31,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail32,true
1. Parse Validation,RapidJSON_FullPrec (C++),fail33,true
2. Parse Double,RapidJSON_FullPrec (C++),double01,true
2. Parse Double,RapidJSON_FullPrec (C++),double02,true
2. Parse Double,RapidJSON_FullPrec (C++),double03,true
2. Parse Double,RapidJSON_FullPrec (C++),double04,true
2. Parse Double,RapidJSON_FullPrec (C++),double05,true
2. Parse Double,RapidJSON_FullPrec (C++),double06,true
2. Parse Double,RapidJSON_FullPrec (C++),double07,true
2. Parse Double,RapidJSON_FullPrec (C++),double08,true
2. Parse Double,RapidJSON_FullPrec (C++),double09,true
2. Parse Double,RapidJSON_FullPrec (C++),double10,true
2. Parse Double,RapidJSON_FullPrec (C++),double11,true
2. Parse Double,RapidJSON_FullPrec (C++),double12,true
2. Parse Double,RapidJSON_FullPrec (C++),double13,true
2. Parse Double,RapidJSON_FullPrec (C++),double14,true
2. Parse Double,RapidJSON_FullPrec (C++),double15,true
2. Parse Double,RapidJSON_FullPrec (C++),double16,true
2. Parse Double,RapidJSON_FullPrec (C++),double17,true
2. Parse Double,RapidJSON_FullPrec (C++),double18,true
2. Parse Double,RapidJSON_FullPrec (C++),double19,true
2. Parse Double,RapidJSON_FullPrec (C++),double20,true
2. Parse Double,RapidJSON_FullPrec (C++),double21,true
2. Parse Double,RapidJSON_FullPrec (C++),double22,true
2. Parse Double,RapidJSON_FullPrec (C++),double23,true
2. Parse Double,RapidJSON_FullPrec (C++),double24,true
2. Parse Double,RapidJSON_FullPrec (C++),double25,true
2. Parse Double,RapidJSON_FullPrec (C++),double26,true
2. Parse Double,RapidJSON_FullPrec (C++),double27,true
2. Parse Double,RapidJSON_FullPrec (C++),double28,true
2. Parse Double,RapidJSON_FullPrec (C++),double29,true
2. Parse Double,RapidJSON_FullPrec (C++),double30,true
2. Parse Double,RapidJSON_FullPrec (C++),double31,true
2. Parse Double,RapidJSON_FullPrec (C++),double32,true
2. Parse Double,RapidJSON_FullPrec (C++),double33,true
2. Parse Double,RapidJSON_FullPrec (C++),double34,true
2. Parse Double,RapidJSON_FullPrec (C++),double35,true
2. Parse Double,RapidJSON_FullPrec (C++),double36,true
2. Parse Double,RapidJSON_FullPrec (C++),double37,true
2. Parse Double,RapidJSON_FullPrec (C++),double38,true
2. Parse Double,RapidJSON_FullPrec (C++),double39,true
2. Parse Double,RapidJSON_FullPrec (C++),double40,true
2. Parse Double,RapidJSON_FullPrec (C++),double41,true
2. Parse Double,RapidJSON_FullPrec (C++),double42,true
2. Parse Double,RapidJSON_FullPrec (C++),double43,true
2. Parse Double,RapidJSON_FullPrec (C++),double44,true
2. Parse Double,RapidJSON_FullPrec (C++),double45,true
2. Parse Double,RapidJSON_FullPrec (C++),double46,true
2. Parse Double,RapidJSON_FullPrec (C++),double47,true
2. Parse Double,RapidJSON_FullPrec (C++),double48,true
2. Parse Double,RapidJSON_FullPrec (C++),double49,true
2. Parse Double,RapidJSON_FullPrec (C++),double50,true
2. Parse Double,RapidJSON_FullPrec (C++),double51,true
2. Parse Double,RapidJSON_FullPrec (C++),double52,true
2. Parse Double,RapidJSON_FullPrec (C++),double53,true
2. Parse Double,RapidJSON_FullPrec (C++),double54,true
2. Parse Double,RapidJSON_FullPrec (C++),double55,true
2. Parse Double,RapidJSON_FullPrec (C++),double56,true
2. Parse Double,RapidJSON_FullPrec (C++),double57,true
2. Parse Double,RapidJSON_FullPrec (C++),double58,true
2. Parse Double,RapidJSON_FullPrec (C++),double59,true
2. Parse Double,RapidJSON_FullPrec (C++),double60,true
2. Parse Double,RapidJSON_FullPrec (C++),double61,true
2. Parse Double,RapidJSON_FullPrec (C++),double62,true
2. Parse Double,RapidJSON_FullPrec (C++),double63,true
2. Parse Double,RapidJSON_FullPrec (C++),double64,true
2. Parse Double,RapidJSON_FullPrec (C++),double65,true
2. Parse Double,RapidJSON_FullPrec (C++),double66,true
3. Parse String,RapidJSON_FullPrec (C++),string01,true
3. Parse String,RapidJSON_FullPrec (C++),string02,true
3. Parse String,RapidJSON_FullPrec (C++),string03,true
3. Parse String,RapidJSON_FullPrec (C++),string04,true
3. Parse String,RapidJSON_FullPrec (C++),string05,true
3. Parse String,RapidJSON_FullPrec (C++),string06,true
3. Parse String,RapidJSON_FullPrec (C++),string07,true
3. Parse String,RapidJSON_FullPrec (C++),string08,true
3. Parse String,RapidJSON_FullPrec (C++),string09,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip01,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip02,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip03,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip04,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip05,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip06,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip07,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip08,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip09,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip10,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip11,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip12,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip13,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip14,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip15,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip16,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip17,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip18,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip19,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip20,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip21,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip22,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip23,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip24,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip25,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip26,true
4. Roundtrip,RapidJSON_FullPrec (C++),roundtrip27,true
1. Parse Validation,RapidJSON_Insitu (C++),pass01,true
1. Parse Validation,RapidJSON_Insitu (C++),pass02,true
1. Parse Validation,RapidJSON_Insitu (C++),pass03,true
1. Parse Validation,RapidJSON_Insitu (C++),fail02,true
1. Parse Validation,RapidJSON_Insitu (C++),fail03,true
1. Parse Validation,RapidJSON_Insitu (C++),fail04,true
1. Parse Validation,RapidJSON_Insitu (C++),fail05,true
1. Parse Validation,RapidJSON_Insitu (C++),fail06,true
1. Parse Validation,RapidJSON_Insitu (C++),fail07,true
1. Parse Validation,RapidJSON_Insitu (C++),fail08,true
1. Parse Validation,RapidJSON_Insitu (C++),fail09,true
1. Parse Validation,RapidJSON_Insitu (C++),fail10,true
1. Parse Validation,RapidJSON_Insitu (C++),fail11,true
1. Parse Validation,RapidJSON_Insitu (C++),fail12,true
1. Parse Validation,RapidJSON_Insitu (C++),fail13,true
1. Parse Validation,RapidJSON_Insitu (C++),fail14,true
1. Parse Validation,RapidJSON_Insitu (C++),fail15,true
1. Parse Validation,RapidJSON_Insitu (C++),fail16,true
1. Parse Validation,RapidJSON_Insitu (C++),fail17,true
1. Parse Validation,RapidJSON_Insitu (C++),fail19,true
1. Parse Validation,RapidJSON_Insitu (C++),fail20,true
1. Parse Validation,RapidJSON_Insitu (C++),fail21,true
1. Parse Validation,RapidJSON_Insitu (C++),fail22,true
1. Parse Validation,RapidJSON_Insitu (C++),fail23,true
1. Parse Validation,RapidJSON_Insitu (C++),fail24,true
1. Parse Validation,RapidJSON_Insitu (C++),fail25,true
1. Parse Validation,RapidJSON_Insitu (C++),fail26,true
1. Parse Validation,RapidJSON_Insitu (C++),fail27,true
1. Parse Validation,RapidJSON_Insitu (C++),fail28,true
1. Parse Validation,RapidJSON_Insitu (C++),fail29,true
1. Parse Validation,RapidJSON_Insitu (C++),fail30,true
1. Parse Validation,RapidJSON_Insitu (C++),fail31,true
1. Parse Validation,RapidJSON_Insitu (C++),fail32,true
1. Parse Validation,RapidJSON_Insitu (C++),fail33,true
2. Parse Double,RapidJSON_Insitu (C++),double01,true
2. Parse Double,RapidJSON_Insitu (C++),double02,true
2. Parse Double,RapidJSON_Insitu (C++),double03,true
2. Parse Double,RapidJSON_Insitu (C++),double04,true
2. Parse Double,RapidJSON_Insitu (C++),double05,true
2. Parse Double,RapidJSON_Insitu (C++),double06,true
2. Parse Double,RapidJSON_Insitu (C++),double07,true
2. Parse Double,RapidJSON_Insitu (C++),double08,true
2. Parse Double,RapidJSON_Insitu (C++),double09,true
2. Parse Double,RapidJSON_Insitu (C++),double10,true
2. Parse Double,RapidJSON_Insitu (C++),double11,true
2. Parse Double,RapidJSON_Insitu (C++),double12,true
2. Parse Double,RapidJSON_Insitu (C++),double13,true
2. Parse Double,RapidJSON_Insitu (C++),double14,true
2. Parse Double,RapidJSON_Insitu (C++),double15,true
2. Parse Double,RapidJSON_Insitu (C++),double16,true
2. Parse Double,RapidJSON_Insitu (C++),double17,true
2. Parse Double,RapidJSON_Insitu (C++),double18,true
2. Parse Double,RapidJSON_Insitu (C++),double19,false
2. Parse Double,RapidJSON_Insitu (C++),double20,true
2. Parse Double,RapidJSON_Insitu (C++),double21,false
2. Parse Double,RapidJSON_Insitu (C++),double22,true
2. Parse Double,RapidJSON_Insitu (C++),double23,true
2. Parse Double,RapidJSON_Insitu (C++),double24,true
2. Parse Double,RapidJSON_Insitu (C++),double25,true
2. Parse Double,RapidJSON_Insitu (C++),double26,true
2. Parse Double,RapidJSON_Insitu (C++),double27,true
2. Parse Double,RapidJSON_Insitu (C++),double28,true
2. Parse Double,RapidJSON_Insitu (C++),double29,false
2. Parse Double,RapidJSON_Insitu (C++),double30,true
2. Parse Double,RapidJSON_Insitu (C++),double31,true
2. Parse Double,RapidJSON_Insitu (C++),double32,false
2. Parse Double,RapidJSON_Insitu (C++),double33,true
2. Parse Double,RapidJSON_Insitu (C++),double34,true
2. Parse Double,RapidJSON_Insitu (C++),double35,true
2. Parse Double,RapidJSON_Insitu (C++),double36,true
2. Parse Double,RapidJSON_Insitu (C++),double37,false
2. Parse Double,RapidJSON_Insitu (C++),double38,true
2. Parse Double,RapidJSON_Insitu (C++),double39,true
2. Parse Double,RapidJSON_Insitu (C++),double40,false
2. Parse Double,RapidJSON_Insitu (C++),double41,true
2. Parse Double,RapidJSON_Insitu (C++),double42,true
2. Parse Double,RapidJSON_Insitu (C++),double43,true
2. Parse Double,RapidJSON_Insitu (C++),double44,false
2. Parse Double,RapidJSON_Insitu (C++),double45,false
2. Parse Double,RapidJSON_Insitu (C++),double46,true
2. Parse Double,RapidJSON_Insitu (C++),double47,true
2. Parse Double,RapidJSON_Insitu (C++),double48,false
2. Parse Double,RapidJSON_Insitu (C++),double49,true
2. Parse Double,RapidJSON_Insitu (C++),double50,true
2. Parse Double,RapidJSON_Insitu (C++),double51,true
2. Parse Double,RapidJSON_Insitu (C++),double52,true
2. Parse Double,RapidJSON_Insitu (C++),double53,true
2. Parse Double,RapidJSON_Insitu (C++),double54,true
2. Parse Double,RapidJSON_Insitu (C++),double55,true
2. Parse Double,RapidJSON_Insitu (C++),double56,false
2. Parse Double,RapidJSON_Insitu (C++),double57,false
2. Parse Double,RapidJSON_Insitu (C++),double58,true
2. Parse Double,RapidJSON_Insitu (C++),double59,false
2. Parse Double,RapidJSON_Insitu (C++),double60,false
2. Parse Double,RapidJSON_Insitu (C++),double61,false
2. Parse Double,RapidJSON_Insitu (C++),double62,false
2. Parse Double,RapidJSON_Insitu (C++),double63,false
2. Parse Double,RapidJSON_Insitu (C++),double64,false
2. Parse Double,RapidJSON_Insitu (C++),double65,false
2. Parse Double,RapidJSON_Insitu (C++),double66,true
3. Parse String,RapidJSON_Insitu (C++),string01,true
3. Parse String,RapidJSON_Insitu (C++),string02,true
3. Parse String,RapidJSON_Insitu (C++),string03,true
3. Parse String,RapidJSON_Insitu (C++),string04,true
3. Parse String,RapidJSON_Insitu (C++),string05,true
3. Parse String,RapidJSON_Insitu (C++),string06,true
3. Parse String,RapidJSON_Insitu (C++),string07,true
